{'DATE/TIME': '08/12/2022 00:49:53', 'COI': 1556513, 'POI': 975140, 'CALL CHNG OI': 460545, 'PUT CHNG OI': -57755, 'PCR': 0.6264901096232411, 'CHPCR': -0.1254057692516475, 'OI Difference': -518300}
{'DATE/TIME': '08/12/2022 11:43:44', 'COI': 2398980, 'POI': 1670444, 'CALL CHNG OI': 842467, 'PUT CHNG OI': 695304, 'PCR': 0.6963142668967645, 'CHPCR': 0.8253189739182663, 'OI Difference': -147163}
{'DATE/TIME': '08/12/2022 11:46:20', 'COI': 2391049, 'POI': 1667779, 'CALL CHNG OI': 834536, 'PUT CHNG OI': 692639, 'PCR': 0.6975093358605365, 'CHPCR': 0.8299689887554281, 'OI Difference': -141897}
{'DATE/TIME': '09/12/2022 09:21:08', 'COI': 652449, 'POI': 481069, 'CALL CHNG OI': 67999, 'PUT CHNG OI': 59748, 'PCR': 0.7373281283288042, 'CHPCR': 0.8786599802938279, 'OI Difference': -8251}
{'DATE/TIME': '09/12/2022 09:26:28', 'COI': 728191, 'POI': 560048, 'CALL CHNG OI': 143741, 'PUT CHNG OI': 138727, 'PCR': 0.7690949215247098, 'CHPCR': 0.9651178160719628, 'OI Difference': -5014}
{'DATE/TIME': '11/12/2022 23:27:41', 'COI': 1443634, 'POI': 599207, 'CALL CHNG OI': 859184, 'PUT CHNG OI': 177886, 'PCR': 0.4150685007418778, 'CHPCR': 0.2070406339037971, 'OI Difference': -681298}
'DATE/TIME': '11/12/2022 23:32:17', 'COI': 1290380, 'POI': 773054, 'CALL CHNG OI': 782089, 'PUT CHNG OI': 255882, 'PCR': 0.5990901904865233, 'CHPCR': 0.3271775974345631, 'OI Difference': -526207}
{'DATE/TIME': '13/12/2022 09:00:56', 'COI': 1351685, 'POI': 1013159, 'CALL CHNG OI': 61305, 'PUT CHNG OI': 240105, 'PCR': 0.7495525954641798, 'CHPCR': 3.9165647173966236, 'OI Difference': 178800}
{'DATE/TIME': '13/12/2022 09:37:23', 'COI': 1541047, 'POI': 1118706, 'CALL CHNG OI': 189362, 'PUT CHNG OI': 105547, 'PCR': 0.725938923342377, 'CHPCR': 0.5573821569269442, 'OI Difference': -83815}
{'DATE/TIME': '15/12/2022 09:04:12', 'COI': 1315746, 'POI': 1330056, 'CALL CHNG OI': 128020, 'PUT CHNG OI': 105292, 'PCR': 1.0108759593416967, 'CHPCR': 0.8224652398062803, 'OI Difference': -22728}
{'DATE/TIME': '15/12/2022 09:10:11', 'COI': 1434072, 'POI': 1203423, 'CALL CHNG OI': 126071, 'PUT CHNG OI': 160175, 'PCR': 0.839164979164226, 'CHPCR': 1.270514234042722, 'OI Difference': 34104}
{'DATE/TIME': '15/12/2022 09:17:34', 'COI': 1434072, 'POI': 1203423, 'CALL CHNG OI': 0, 'PUT CHNG OI': 0, 'PCR': 0.839164979164226, 'CHPCR': nan, 'OI Difference': 0}
{'DATE/TIME': '15/12/2022 09:17:48', 'COI': 1434072, 'POI': 1203423, 'CALL CHNG OI': 0, 'PUT CHNG OI': 0, 'PCR': 0.839164979164226, 'CHPCR': nan, 'OI Difference': 0}
{'DATE/TIME': '15/12/2022 09:21:40', 'COI': 1446153, 'POI': 1138001, 'CALL CHNG OI': 0, 'PUT CHNG OI': 0, 'PCR': 0.786916045535984, 'CHPCR': nan, 'OI Difference': -308152}
{'DATE/TIME': '15/12/2022 10:26:38', 'COI': 2497802, 'POI': 1444636, 'CALL CHNG OI': 1051649, 'PUT CHNG OI': 306635, 'PCR': 0.5783628966587424, 'CHPCR': 0.2915754210768041, 'OI Difference': -1053166}
{'DATE/TIME': '15/12/2022 12:17:28', 'COI': 2630216, 'POI': 1423733, 'CALL CHNG OI': 1184063, 'PUT CHNG OI': 285732, 'PCR': 0.5412988895208607, 'CHPCR': 0.24131486246931116, 'OI Difference': -1206483}
{'DATE/TIME': '15/12/2022 12:45:32', 'COI': 2686642, 'POI': 1343438, 'CALL CHNG OI': 1240489, 'PUT CHNG OI': 205437, 'PCR': 0.5000435487869244, 'CHPCR': 0.16560969101701023, 'OI Difference': -1343204}
{'DATE/TIME': '15/12/2022 12:53:27', 'COI': 2576270, 'POI': 1508600, 'CALL CHNG OI': 1260524, 'PUT CHNG OI': 178544, 'PCR': 0.5855752696728216, 'CHPCR': 0.14164268193227578, 'OI Difference': -1067670}
{'DATE/TIME': '15/12/2022 14:12:57', 'COI': 2439486, 'POI': 1449363, 'CALL CHNG OI': 1123740, 'PUT CHNG OI': 119307, 'PCR': 0.5941263856402538, 'CHPCR': 0.10616957659245022, 'OI Difference': -990123}
{'DATE/TIME': '15/12/2022 14:19:07', 'COI': 2393874, 'POI': 1449690, 'CALL CHNG OI': 1078128, 'PUT CHNG OI': 119634, 'PCR': 0.6055832512488126, 'CHPCR': 0.11096456079426562, 'OI Difference': -944184}
{'DATE/TIME': '15/12/2022 14:25:41', 'COI': 2343639, 'POI': 1471415, 'CALL CHNG OI': 1027893, 'PUT CHNG OI': 141359, 'PCR': 0.6278334675263554, 'CHPCR': 0.1375230690353957, 'OI Difference': -872224}
{'DATE/TIME': '15/12/2022 14:31:41', 'COI': 2303681, 'POI': 1500039, 'CALL CHNG OI': 987935, 'PUT CHNG OI': 169983, 'PCR': 0.6511487484595306, 'CHPCR': 0.17205889051405204, 'OI Difference': -803642}
{'DATE/TIME': '15/12/2022 14:33:40', 'COI': 2297373, 'POI': 1497621, 'CALL CHNG OI': 981627, 'PUT CHNG OI': 167565, 'PCR': 0.6518841302653073, 'CHPCR': 0.17070129489103295, 'OI Difference': -799752}
{'DATE/TIME': '15/12/2022 14:43:12', 'COI': 2220659, 'POI': 1338300, 'CALL CHNG OI': 904913, 'PUT CHNG OI': 8244, 'PCR': 0.6026589404316467, 'CHPCR': 0.009110268058918371, 'OI Difference': -882359}
{'DATE/TIME': '15/12/2022 14:46:15', 'COI': 2155536, 'POI': 1227471, 'CALL CHNG OI': 839790, 'PUT CHNG OI': -102585, 'PCR': 0.5694504754269936, 'CHPCR': -0.12215553888472118, 'OI Difference': -928065}
{'DATE/TIME': '15/12/2022 21:54:57', 'COI': 1273510, 'POI': 848710, 'CALL CHNG OI': -42236, 'PUT CHNG OI': -481346, 'PCR': 0.6664337146940346, 'CHPCR': 11.39658111563595, 'OI Difference': -424800}
{'DATE/TIME': '15/12/2022 22:05:49', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:21:41', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:23:57', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:34:05', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:35:17', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:40:21', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:41:11', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:41:33', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
